,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Tightening of Oil Jet Spray, Assembly of Crankshaf",OP20,V0,variant_images/noimage.png
1,N600,"Tightening of Oil Jet Spray, Assembly of Crankshaf",OP20,V2,variant_images/noimage.png
2,V4,"Tightening of Oil Jet Spray, Assembly of Crankshaf",OP20,V3,variant_images/noimage.png
