,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Backlash measurement, Final Tightening of M7x34 bo",OP150,V0,variant_images/noimage.png
1,N600,"Backlash measurement, Final Tightening of M7x34 bo",OP150,V2,variant_images/noimage.png
2,V4,"Backlash measurement, Final Tightening of M7x34 bo",OP150,V3,variant_images/noimage.png
