,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD," Oil Pump, Suction tube tightening, Camchain, oil ",OP60,V0,variant_images/noimage.png
1,N600," Oil Pump, Suction tube tightening, Camchain, oil ",OP60,V2,variant_images/noimage.png
2,V4," Oil Pump, Suction tube tightening, Camchain, oil ",OP60,V3,variant_images/noimage.png
