,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Assembly of balancershaft, Closing of crankcase up",OP30 ,V0,variant_images/noimage.png
1,N600,"Assembly of balancershaft, Closing of crankcase up",OP30 ,V2,variant_images/noimage.png
2,V4,"Assembly of balancershaft, Closing of crankcase up",OP30 ,V3,variant_images/noimage.png
