,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Cover Magneto Dowel, Gasket, M6x30 bolt assembly a",OP200,V0,variant_images/noimage.png
1,N600,"Cover Magneto Dowel, Gasket, M6x30 bolt assembly a",OP200,V2,variant_images/noimage.png
2,V4,"Cover Magneto Dowel, Gasket, M6x30 bolt assembly a",OP200,V3,variant_images/noimage.png
