,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Spark Plug Tightening, Ignition coil assembly, IN/",OP220,V0,variant_images/noimage.png
1,N600,"Spark Plug Tightening, Ignition coil assembly, IN/",OP220,V2,variant_images/noimage.png
2,V4,"Spark Plug Tightening, Ignition coil assembly, IN/",OP220,V3,variant_images/noimage.png
