,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Tightening of M9 and M6 bolt, Spark Plug O-Ring, E",OP90 ,V0,variant_images/noimage.png
1,N600,"Tightening of M9 and M6 bolt, Spark Plug O-Ring, E",OP90 ,V2,variant_images/noimage.png
2,V4,"Tightening of M9 and M6 bolt, Spark Plug O-Ring, E",OP90 ,V3,variant_images/noimage.png
