,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Loose assembly and tightening of M6x68 bolts, Loos",OP40,V0,variant_images/noimage.png
1,N600,"Loose assembly and tightening of M6x68 bolts, Loos",OP40,V2,variant_images/noimage.png
2,V4,"Loose assembly and tightening of M6x68 bolts, Loos",OP40,V3,variant_images/noimage.png
