,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Water Pump Assembly and tightening, Acoustic Bolt ",OP180,V0,variant_images/noimage.png
1,N600,"Water Pump Assembly and tightening, Acoustic Bolt ",OP180,V2,variant_images/noimage.png
2,V4,"Water Pump Assembly and tightening, Acoustic Bolt ",OP180,V3,variant_images/noimage.png
