,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Gearbox assembly, Pre-tightening of M7 bolt, Assem",OP110 ,V0,variant_images/noimage.png
1,N600,"Gearbox assembly, Pre-tightening of M7 bolt, Assem",OP110 ,V2,variant_images/noimage.png
2,V4,"Gearbox assembly, Pre-tightening of M7 bolt, Assem",OP110 ,V3,variant_images/noimage.png
