,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Assembly of Camchain Guide, Tensioner Camchain, Pi",OP80,V0,variant_images/noimage.png
1,N600,"Assembly of Camchain Guide, Tensioner Camchain, Pi",OP80,V2,variant_images/noimage.png
2,V4,"Assembly of Camchain Guide, Tensioner Camchain, Pi",OP80,V3,variant_images/noimage.png
