,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,Loose assembly and Tightening of Oil Pan bolt,OP70,V0,variant_images/noimage.png
1,N600,Loose assembly and Tightening of Oil Pan bolt,OP70,V2,variant_images/noimage.png
2,V4,Loose assembly and Tightening of Oil Pan bolt,OP70,V3,variant_images/noimage.png
