,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"CrCs upper loading, Oil jet & Piston con rod assem",OP10 ,V0,variant_images/noimage.png
1,N600,"CrCs upper loading, Oil jet & Piston con rod assem",OP10 ,V2,variant_images/noimage.png
2,V4,"CrCs upper loading, Oil jet & Piston con rod assem",OP10 ,V3,variant_images/noimage.png
