,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"Assembly of IN camshaft, Camhousing L & R assembly",OP100 ,V0,variant_images/noimage.png
1,N600,"Assembly of IN camshaft, Camhousing L & R assembly",OP100 ,V2,variant_images/noimage.png
2,V4,"Assembly of IN camshaft, Camhousing L & R assembly",OP100 ,V3,variant_images/noimage.png
