,VariantName,AssetDescription,AssetName,Variant_Code,RecipeName
0,KD,"GPS Sensor Tightening, Rotor Assembly & Tightening",OP190,V0,variant_images/noimage.png
1,N600,"GPS Sensor Tightening, Rotor Assembly & Tightening",OP190,V2,variant_images/noimage.png
2,V4,"GPS Sensor Tightening, Rotor Assembly & Tightening",OP190,V3,variant_images/noimage.png
